IGUNegozio,CodNegozio,IGUArticolo,Modello,CodEsterno,DSArticolo,DSArticoloWeb,Nota,Um,UmWeb,CodIva,Continuativo,DayOne,IGULinea,DSLinea,DSLineaWeb,IGUStagione,DSStagione,DSStagioneWeb,IGUTipoTaglia,DSTipoTaglia,DSTipoTagliaWeb,IGUMarca,DSMarca,DSMarcaWeb,IGUCampionario,DSCampionario,DSCampionarioWeb,IGUMateriale,DSMateriale,DSMaterialeWeb,IGUTipoEtichetta,DSTipoEtichetta,DSTipoEtichettaWeb,IGUReparto,DSReparto,DSRepartoWeb,IGUCategoriaMerceologica,DSCategoriaMerceologica,DSCategoriaMerceologicaWeb,IGUSesso,DSSesso,DSSessoWeb,CodArticolo,BarCode,CodColore,IGUColore,DSColore,DSColoreWeb,Indice,Taglia,IGUPrezzoVendita,TipoPrezzo,DataInizio,DataFine,IGUValuta,PrezzoIvato,Imponibile,Sconto,Aliquota,Costo,Annullato,FlagEstrazioneTotale,DTEstrazione,PuntiPremio,IGULingua,CodLingua,DSLingua,DSArticoloAgg,Classificazione1,Classificazione2,Classificazione3,Classificazione4,Classificazione5,Classificazione6,Classificazione7,Classificazione8,Classificazione9,Classificazione10,DSAttributoMultiplo1,DSAttributoMultiplo2,IDArticolo,IDLinea,IDStagione,IDTipoTaglia,IDMarca,IDCampionario,IDMateriale,IDTipoEtichetta,IDCategoriaMerceologica,IDSesso,IDArtCod,IDColore,IDTaglia,Peso,URLImg1,URLImg2,URLImg3,URLImg4,URLImg5,Disponibilita,PrezzoImponibileNetto,ArticoloDescrizionePers,RetailItalyNetto,FlagTipoArticolo,CodAlternativo,FlagScontabile,DSArticoloAggWeb,DescrClass1,DescrClass1Web,DescrClass2,DescrClass2Web,DescrClass3,DescrClass3Web,Classificazione,PrezzoScontatoIvato,ScontoListino,PrezzoScontatoNetto,RaggruppamentoLinea,IDReparto,CostoImponibileNetto,BarcodeCustom,SKUCustom,URLImg6,URLImg7,URLImg8,URLImg9,URLImg10,EAN,ModelloOwner,CustomField,CodDogana,NominativoFor,IndirizzoFor,EMailFor,URLFor,TelefonoFor,DisabilitaCustomStagione,DisabilitaCustomLinea,RiservatoB2C
319,TMS,1\4\4\324756\796458\0,0000U2664G MXB,,INTIMO,,,PEZZI,,22,0,Jan  1 1900 12:00AM,3\1\1\1\145\0,CALVIN KLEIN,,63\143\48\6869\58\0,24S,,6\1\1\1\10\0,XXXS-XXXL,,64\1\1\1\644\0,BANGLADESH,BD,71\1\1\1\5\0,Precollezione,,135\1\1\1\20919\0,"95% Cotton, 5% Elastane",,148\1\1\1\17\0,INTIMO,,150\1\1\1\6\0,ABBIGLIAMENTO,CLOTHING,149\1\1\1\161\0,INTIMO,UNDERWEAR,153\1\1\1\2\0,UOMO,MAN,2000013195654,8.72E+12,MXB,5\1\1\1\122126\0,MXB,MXB,40,S,22\4\4\324756\4783417\0,1,Mar 15 2024 12:00AM,Dec 31 2099 12:00AM,15\1\1\1,43,35.25,35,22,0,0,1,Jun 16 2025  4:22PM,0,,,,INTIMO,,,,,,24S,,,,,,,796458,145,58,10,644,5,20919,17,161,2,7083780,122126,173,1,http://93.46.41.5:8080/GEB/2000013195661_1.jpg,http://93.46.41.5:8080/GEB/2000013195661_2.jpg,,,,20,23,,28,#A0#,,1,,,,,,,,,0,0,0,CALVIN KLEIN,6,23,,,,,,,,8.72E+12,,,,,,,,,#FFGEB#,,0
319,TMS,1\4\4\324756\796458\0,0000U2664G MXB,,INTIMO,,,PEZZI,,22,0,Jan  1 1900 12:00AM,3\1\1\1\145\0,CALVIN KLEIN,,63\143\48\6869\58\0,24S,,6\1\1\1\10\0,XXXS-XXXL,,64\1\1\1\644\0,BANGLADESH,BD,71\1\1\1\5\0,Precollezione,,135\1\1\1\20919\0,"95% Cotton, 5% Elastane",,148\1\1\1\17\0,INTIMO,,150\1\1\1\6\0,ABBIGLIAMENTO,CLOTHING,149\1\1\1\161\0,INTIMO,UNDERWEAR,153\1\1\1\2\0,UOMO,MAN,2000013195661,8.72E+12,MXB,5\1\1\1\122126\0,MXB,MXB,50,M,22\4\4\324756\4783417\0,1,Mar 15 2024 12:00AM,Dec 31 2099 12:00AM,15\1\1\1,43,35.25,35,22,0,0,1,Jun 16 2025  4:22PM,0,,,,INTIMO,,,,,,24S,,,,,,,796458,145,58,10,644,5,20919,17,161,2,7083781,122126,174,1,http://93.46.41.5:8080/GEB/2000013195661_1.jpg,http://93.46.41.5:8080/GEB/2000013195661_2.jpg,,,,0,23,,28,#A0#,,1,,,,,,,,,0,0,0,CALVIN KLEIN,6,23,,,,,,,,8.72E+12,,,,,,,,,#FFGEB#,,0
319,TMS,1\4\4\324756\796458\0,0000U2664G MXB,,INTIMO,,,PEZZI,,22,0,Jan  1 1900 12:00AM,3\1\1\1\145\0,CALVIN KLEIN,,63\143\48\6869\58\0,24S,,6\1\1\1\10\0,XXXS-XXXL,,64\1\1\1\644\0,BANGLADESH,BD,71\1\1\1\5\0,Precollezione,,135\1\1\1\20919\0,"95% Cotton, 5% Elastane",,148\1\1\1\17\0,INTIMO,,150\1\1\1\6\0,ABBIGLIAMENTO,CLOTHING,149\1\1\1\161\0,INTIMO,UNDERWEAR,153\1\1\1\2\0,UOMO,MAN,2000013195678,8.72E+12,MXB,5\1\1\1\122126\0,MXB,MXB,60,L,22\4\4\324756\4783417\0,1,Mar 15 2024 12:00AM,Dec 31 2099 12:00AM,15\1\1\1,43,35.25,35,22,0,0,1,Jun 16 2025  4:22PM,0,,,,INTIMO,,,,,,24S,,,,,,,796458,145,58,10,644,5,20919,17,161,2,7083782,122126,175,1,http://93.46.41.5:8080/GEB/2000013195661_1.jpg,http://93.46.41.5:8080/GEB/2000013195661_2.jpg,,,,0,23,,28,#A0#,,1,,,,,,,,,0,0,0,CALVIN KLEIN,6,23,,,,,,,,8.72E+12,,,,,,,,,#FFGEB#,,0
319,TMS,1\4\4\324756\796458\0,0000U2664G MXB,,INTIMO,,,PEZZI,,22,0,Jan  1 1900 12:00AM,3\1\1\1\145\0,CALVIN KLEIN,,63\143\48\6869\58\0,24S,,6\1\1\1\10\0,XXXS-XXXL,,64\1\1\1\644\0,BANGLADESH,BD,71\1\1\1\5\0,Precollezione,,135\1\1\1\20919\0,"95% Cotton, 5% Elastane",,148\1\1\1\17\0,INTIMO,,150\1\1\1\6\0,ABBIGLIAMENTO,CLOTHING,149\1\1\1\161\0,INTIMO,UNDERWEAR,153\1\1\1\2\0,UOMO,MAN,2000013195685,8.72E+12,MXB,5\1\1\1\122126\0,MXB,MXB,70,XL,22\4\4\324756\4783417\0,1,Mar 15 2024 12:00AM,Dec 31 2099 12:00AM,15\1\1\1,43,35.25,35,22,0,0,1,Jun 16 2025  4:22PM,0,,,,INTIMO,,,,,,24S,,,,,,,796458,145,58,10,644,5,20919,17,161,2,7083783,122126,176,1,http://93.46.41.5:8080/GEB/2000013195661_1.jpg,http://93.46.41.5:8080/GEB/2000013195661_2.jpg,,,,5,23,,28,#A0#,,1,,,,,,,,,0,0,0,CALVIN KLEIN,6,23,,,,,,,,8.72E+12,,,,,,,,,#FFGEB#,,0
319,TMS,1\4\4\324756\748226\0,000NB3704A KDX,,BOXER,,,PEZZI,,22,0,Jan  1 1900 12:00AM,3\1\1\1\145\0,CALVIN KLEIN,,63\143\48\6869\57\0,23W,,6\1\1\1\10\0,XXXS-XXXL,,,,,71\1\1\1\5\0,Precollezione,,,,,148\1\1\1\17\0,INTIMO,,150\1\1\1\6\0,ABBIGLIAMENTO,CLOTHING,149\1\1\1\161\0,INTIMO,UNDERWEAR,153\1\1\1\2\0,UOMO,MAN,2000011643959,2.00E+12,KDX,5\1\1\1\110096\0,BLACKSPEAKEASYGREY,BLACKSPEAKEASYGREY,40,S,22\4\4\2291\4554891\0,1,Nov 29 2023 12:00AM,Dec 31 2099 12:00AM,15\1\1\1,45,36.89,35,22,0,0,1,Jun 16 2025  4:22PM,0,,,,BOXER,,,,,,23W,,,,,,,748226,145,57,10,-1,5,-1,17,161,2,6928831,110096,173,1,http://93.46.41.5:8080/GEB/2000011643966_1.jpg,http://93.46.41.5:8080/GEB/2000011643966_2.jpg,,,,6,24,,29,#A0#,,1,,,,,,,,,0,0,0,CALVIN KLEIN,6,24,,,,,,,,,,,,,,,,,#FFGEB#,,0
319,TMS,1\4\4\324756\748226\0,000NB3704A KDX,,BOXER,,,PEZZI,,22,0,Jan  1 1900 12:00AM,3\1\1\1\145\0,CALVIN KLEIN,,63\143\48\6869\57\0,23W,,6\1\1\1\10\0,XXXS-XXXL,,,,,71\1\1\1\5\0,Precollezione,,,,,148\1\1\1\17\0,INTIMO,,150\1\1\1\6\0,ABBIGLIAMENTO,CLOTHING,149\1\1\1\161\0,INTIMO,UNDERWEAR,153\1\1\1\2\0,UOMO,MAN,2000011643966,2.00E+12,KDX,5\1\1\1\110096\0,BLACKSPEAKEASYGREY,BLACKSPEAKEASYGREY,50,M,22\4\4\2291\4554891\0,1,Nov 29 2023 12:00AM,Dec 31 2099 12:00AM,15\1\1\1,45,36.89,35,22,0,0,1,Jun 16 2025  4:22PM,0,,,,BOXER,,,,,,23W,,,,,,,748226,145,57,10,-1,5,-1,17,161,2,6928832,110096,174,1,http://93.46.41.5:8080/GEB/2000011643966_1.jpg,http://93.46.41.5:8080/GEB/2000011643966_2.jpg,,,,6,24,,29,#A0#,,1,,,,,,,,,0,0,0,CALVIN KLEIN,6,24,,,,,,,,,,,,,,,,,#FFGEB#,,0
319,TMS,1\4\4\324756\748226\0,000NB3704A KDX,,BOXER,,,PEZZI,,22,0,Jan  1 1900 12:00AM,3\1\1\1\145\0,CALVIN KLEIN,,63\143\48\6869\57\0,23W,,6\1\1\1\10\0,XXXS-XXXL,,,,,71\1\1\1\5\0,Precollezione,,,,,148\1\1\1\17\0,INTIMO,,150\1\1\1\6\0,ABBIGLIAMENTO,CLOTHING,149\1\1\1\161\0,INTIMO,UNDERWEAR,153\1\1\1\2\0,UOMO,MAN,2000011643973,2.00E+12,KDX,5\1\1\1\110096\0,BLACKSPEAKEASYGREY,BLACKSPEAKEASYGREY,60,L,22\4\4\2291\4554891\0,1,Nov 29 2023 12:00AM,Dec 31 2099 12:00AM,15\1\1\1,45,36.89,35,22,0,0,1,Jun 16 2025  4:22PM,0,,,,BOXER,,,,,,23W,,,,,,,748226,145,57,10,-1,5,-1,17,161,2,6928833,110096,175,1,http://93.46.41.5:8080/GEB/2000011643966_1.jpg,http://93.46.41.5:8080/GEB/2000011643966_2.jpg,,,,0,24,,29,#A0#,,1,,,,,,,,,0,0,0,CALVIN KLEIN,6,24,,,,,,,,,,,,,,,,,#FFGEB#,,0
319,TMS,1\4\4\324756\748226\0,000NB3704A KDX,,BOXER,,,PEZZI,,22,0,Jan  1 1900 12:00AM,3\1\1\1\145\0,CALVIN KLEIN,,63\143\48\6869\57\0,23W,,6\1\1\1\10\0,XXXS-XXXL,,,,,71\1\1\1\5\0,Precollezione,,,,,148\1\1\1\17\0,INTIMO,,150\1\1\1\6\0,ABBIGLIAMENTO,CLOTHING,149\1\1\1\161\0,INTIMO,UNDERWEAR,153\1\1\1\2\0,UOMO,MAN,2000011643980,2.00E+12,KDX,5\1\1\1\110096\0,BLACKSPEAKEASYGREY,BLACKSPEAKEASYGREY,70,XL,22\4\4\2291\4554891\0,1,Nov 29 2023 12:00AM,Dec 31 2099 12:00AM,15\1\1\1,45,36.89,35,22,0,0,1,Jun 16 2025  4:22PM,0,,,,BOXER,,,,,,23W,,,,,,,748226,145,57,10,-1,5,-1,17,161,2,6928834,110096,176,1,http://93.46.41.5:8080/GEB/2000011643966_1.jpg,http://93.46.41.5:8080/GEB/2000011643966_2.jpg,,,,6,24,,29,#A0#,,1,,,,,,,,,0,0,0,CALVIN KLEIN,6,24,,,,,,,,,,,,,,,,,#FFGEB#,,0
319,TMS,1\4\4\324756\748228\0,000NB3709A KDX,,BOXER,,,PEZZI,,22,0,Jan  1 1900 12:00AM,3\1\1\1\145\0,CALVIN KLEIN,,63\143\48\6869\57\0,23W,,6\1\1\1\10\0,XXXS-XXXL,,,,,71\1\1\1\5\0,Precollezione,,,,,148\1\1\1\17\0,INTIMO,,150\1\1\1\6\0,ABBIGLIAMENTO,CLOTHING,149\1\1\1\161\0,INTIMO,UNDERWEAR,153\1\1\1\2\0,UOMO,MAN,2000011644031,2.00E+12,KDX,5\1\1\1\110096\0,BLACKSPEAKEASYGREY,BLACKSPEAKEASYGREY,40,S,22\4\4\2291\4554897\0,1,Nov 29 2023 12:00AM,Dec 31 2099 12:00AM,15\1\1\1,45,36.89,35,22,0,0,1,Jun 16 2025  4:22PM,0,,,,BOXER,,,,,,23W,,,,,,,748228,145,57,10,-1,5,-1,17,161,2,6928839,110096,173,1,http://93.46.41.5:8080/GEB/2000011644048_1.jpg,http://93.46.41.5:8080/GEB/2000011644048_2.jpg,,,,0,24,,29,#A0#,,1,,,,,,,,,0,0,0,CALVIN KLEIN,6,24,,,,,,,,,,,,,,,,,#FFGEB#,,0
319,TMS,1\4\4\324756\748228\0,000NB3709A KDX,,BOXER,,,PEZZI,,22,0,Jan  1 1900 12:00AM,3\1\1\1\145\0,CALVIN KLEIN,,63\143\48\6869\57\0,23W,,6\1\1\1\10\0,XXXS-XXXL,,,,,71\1\1\1\5\0,Precollezione,,,,,148\1\1\1\17\0,INTIMO,,150\1\1\1\6\0,ABBIGLIAMENTO,CLOTHING,149\1\1\1\161\0,INTIMO,UNDERWEAR,153\1\1\1\2\0,UOMO,MAN,2000011644048,2.00E+12,KDX,5\1\1\1\110096\0,BLACKSPEAKEASYGREY,BLACKSPEAKEASYGREY,50,M,22\4\4\2291\4554897\0,1,Nov 29 2023 12:00AM,Dec 31 2099 12:00AM,15\1\1\1,45,36.89,35,22,0,0,1,Jun 16 2025  4:22PM,0,,,,BOXER,,,,,,23W,,,,,,,748228,145,57,10,-1,5,-1,17,161,2,6928840,110096,174,1,http://93.46.41.5:8080/GEB/2000011644048_1.jpg,http://93.46.41.5:8080/GEB/2000011644048_2.jpg,,,,5,24,,29,#A0#,,1,,,,,,,,,0,0,0,CALVIN KLEIN,6,24,,,,,,,,,,,,,,,,,#FFGEB#,,0
